32HR3MnDZ8g,1282,0.001,0.057,0.256,0.993,0,86
Kb1fduj-jdY,1561,0.000,0.000,0.225,1.000,0,810
VRlpH1MbWUw,1720,0.204,0.206,0.371,0.814,0,275
TcB0IFBwk-k,0941,0.286,0.160,0.710,0.832,0,25
F3dPH6Xqf5M,1316,0.116,0.000,0.841,0.971,0,248
tjqCzVjojCo,1146,0.583,0.294,0.992,0.990,0,74
4Y5qi1gD2Sw,1265,0.667,0.085,0.992,0.913,0,130
kLDpP9QEVBs,1369,0.083,0.148,0.506,0.860,0,248
HKjR70GCRPE,1168,0.062,0.050,0.574,0.933,0,110
_a9SWtcaNj8,1362,0.122,0.352,0.370,0.989,0,154
VsYPP2I0aUQ,0986,0.825,0.040,1.000,0.992,0,36
lWXhqIAvarw,1746,0.006,0.015,0.891,1.000,0,202
uwW0ejeosmk,1672,0.367,0.326,0.447,0.639,0,664
2qQs3Y9OJX0,1730,0.000,0.099,0.428,0.988,0,660
NEQ7Wpf-EtI,1372,0.677,0.505,0.823,0.945,0,488
OfMdakd4bHI,1209,0.028,0.123,0.508,0.996,0,174
rk8Xm0EAOWs,1572,0.011,0.141,0.604,0.910,0,257
jqZpiHlJUig,1379,0.715,0.595,0.765,0.875,0,503
WKqbLbU68wU,1066,0.189,0.248,0.415,0.978,0,43
XF87VL5T0aA,1314,0.000,0.169,0.170,0.841,0,339
CrlfWnsS7ac,1336,0.673,0.292,0.836,0.559,0,191
053oq2xB3oU,1099,0.642,0.326,0.850,0.835,0,284
HKjR70GCRPE,1308,0.256,0.229,0.674,0.962,0,260
b50s4AlOOKY,0925,0.384,0.383,0.577,0.986,0,39
qsTqtWVVSLM,1698,0.167,0.040,0.500,0.996,0,291
XF87VL5T0aA,1139,0.547,0.395,0.698,0.836,0,176
miB-wo2PfLI,1516,0.232,0.322,0.574,1.000,0,529
kLDpP9QEVBs,1113,0.046,0.102,0.666,0.905,0,67
oq_bufAhyl8,1244,0.000,0.024,0.527,1.000,0,141
zG7mx8KiavA,1388,0.321,0.147,0.525,0.855,0,107
9QbzS8bZXFE,1065,0.732,0.456,0.952,0.877,0,51
r2llOyS-BmE,1649,0.372,0.295,0.579,0.509,0,569
SHBMiL5f_3Q,1261,0.412,0.346,0.529,0.596,0,88
4gVsDd8PV9U,0990,0.795,0.144,0.896,0.714,0,53
sUVhd0YTKgw,1083,0.870,0.469,0.950,0.803,0,113
-XpUuIgyUHE,1689,0.219,0.249,0.422,0.623,0,489
qpoWHELxL-4,1434,0.010,0.448,0.944,0.995,0,313
phrYEKv0rmw,1041,0.406,0.044,0.833,0.984,0,118
8aMv-ZGD4ic,1093,0.040,0.102,0.714,0.996,0,20
fNcxxBjEOgw,1101,0.308,0.266,0.627,0.958,0,165
gjasEUDkbuc,1521,0.440,0.627,0.547,0.923,0,406
kplbKz3_fZk,1199,0.250,0.459,0.400,0.899,0,253
KIy2a-nejxg,1592,0.187,0.461,0.435,0.742,0,337
TCmNvNLRWrc,1757,0.837,0.275,0.997,0.984,0,806
M6cgEs9JgDo,1032,0.367,0.082,0.904,1.000,0,39
2DUITARAsWQ,1785,0.628,0.405,0.696,0.726,0,301
XF87VL5T0aA,0926,0.199,0.173,0.793,0.829,0,2
Vmef_8MY46w,1754,0.221,0.262,0.583,0.936,0,465
vfjywN5CN0Y,1096,0.215,0.018,1.000,0.992,0,46
053oq2xB3oU,1541,0.000,0.206,0.503,0.874,0,673
T26G6_AjJZ4,1233,0.517,0.626,0.797,0.998,0,314
aMYcLyh9OhU,1545,0.355,0.233,0.902,0.889,0,229
UsLnxI_zGpY,1682,0.334,0.455,0.528,0.936,0,630
vfjywN5CN0Y,1495,0.434,0.065,1.000,0.961,0,154
bSZiZ4rOC7c,1776,0.573,0.372,0.734,0.876,0,387
S0tkhGJjwLA,1437,0.449,0.052,0.808,0.986,0,178
